Ensembl_Gene_ID;Moyenne_CPM_WT;Moyenne_CPM_WT_treated;Moyenne_CPM_Disease;Moyenne_CPM_Rescue;Pvalue_Patho;Pvalue_Rescue;Ref_Utilisee;Log2FC_Patho;Log2FC_Rescue;Significatif_Patho;Significatif_Rescue
ENSMUSG00000081058;0.8729625968973436;0.7994003695590214;2.112841893342393;1.4580673951297918;0.0213245295565893;0.1437536492431349;WT;1.1854441244458664;-0.5061427354650971;OUI;NON
ENSMUSG00000081999;0.0766319548416044;0.1505060242699998;0.2697869887843281;0.1740286605935276;0.0049482640696902;0.0626834431555846;WT;1.0659480959390044;-0.4323676711797907;OUI;NON
ENSMUSG00000082226;0.0401063707264018;0.0800315348863551;0.2067380390118006;0.1272079699915163;0.0040006258702283;0.3295342483003834;WT;1.1304845307947788;-0.4329936457968721;OUI;NON
ENSMUSG00000082919;0.345556878984188;0.4263563730164579;0.7964191046211957;0.7825219623945512;0.0156723077288859;0.9240004221045452;WT;1.008563780773874;-0.0225412144510247;OUI;NON
ENSMUSG00000083232;0.4521481419001212;0.7775049514654506;1.1825013319337343;1.0194227547759531;0.0201418050246456;0.4653601149697276;WT;1.215833023557046;-0.1962053449811763;OUI;NON
ENSMUSG00000083307;0.1549976381931933;0.7808903954658102;0.5004934497414907;0.8045846302346019;0.0115656565496321;0.2154370348305501;WT;1.2356646241178897;0.5911069744805124;OUI;NON
ENSMUSG00000083391;1.5243955765459811;2.4494756135507902;3.5031537121799112;4.373106103132176;0.0004281604393658;0.0115396294239197;WT;1.1493571953837312;0.3120167807095018;OUI;NON
ENSMUSG00000083477;0.0496655596036926;0.1122503900950131;0.2381130544370978;0.1335126141461871;0.0218026205508561;0.1454351558788071;WT;1.1757634465051492;-0.5340052341435126;OUI;NON
ENSMUSG00000084771;0.22487266561482;0.2860631957069868;0.5877233265134484;0.4926269166809461;0.005305497949184;0.3694927800857156;WT;1.0819539182179525;-0.2147041264708289;OUI;NON
ENSMUSG00000084850;0.0913605578322721;0.1513927720798703;0.3604661491044324;0.3852113091681929;0.0129773162866991;0.8407904256419209;WT;1.2668016011121497;0.0755180754335036;OUI;NON
ENSMUSG00000084925;0.0803447415622171;0.2270374476394621;0.2869770311429988;0.2687752818725216;0.0028672408057323;0.8040724297529951;WT;1.1014905802904178;-0.0695059797599941;OUI;NON
ENSMUSG00000085084;0.0499207816612162;0.2012410869376686;0.2397195162929137;0.1339791588216347;0.0051398900711703;0.1092203736932505;WT;1.1801437208147996;-0.5379640702609615;OUI;NON
